file,beam,shot_number,lat_GEDI2A,lon_GEDI2A,rh98_GEDI2A,rh100_GEDI2A,elev_highest_GEDI2A,elev_lowest_GEDI2A,height_lastbin_GEDI2A,sensitivity_GEDI2A,l2a_quality_flag_GEDI2A,cover_GEDI2B,pai_GEDI2B,fhd_normal_GEDI2B,omega_GEDI2B,pgap_theta_GEDI2B,pgap_theta_error_GEDI2B,lat_GEDI2B,lon_GEDI2B,l2b_quality_flag_GEDI2B
GEDI02_A_2019246042645_O04104_02_T00259_02_003_02_V002.h5,BEAM1000,41040800200080789,17.970899990814562,-66.86027214639577,10.41,12.73,141.27263,128.53618,,0.9887677,1,,,,,,,17.970899990814562,-66.86027214639577,
GEDI02_A_2019246042645_O04104_02_T00259_02_003_02_V002.h5,BEAM1000,41040800200080790,17.971306428996566,-66.85994083952001,13.18,15.09,152.63194,137.5355,,0.9885863,1,,,,,,,17.971306428996566,-66.85994083952001,
GEDI02_A_2019246042645_O04104_02_T00259_02_003_02_V002.h5,BEAM1000,41040800200080791,17.97171259329217,-66.8596097099691,6.18,8.01,156.70856,148.69208,,0.98632,1,,,,,,,17.97171259329217,-66.8596097099691,
GEDI02_A_2019246042645_O04104_02_T00259_02_003_02_V002.h5,BEAM1000,41040800200080792,17.97211956386114,-66.85927785709852,6.59,8.54,160.35017,151.80925,,0.9888789,1,,,,,,,17.97211956386114,-66.85927785709852,
GEDI02_A_2019246042645_O04104_02_T00259_02_003_02_V002.h5,BEAM1000,41040800200080793,17.972526697201754,-66.85894581727747,6.51,8.69,161.63695,152.94618,,0.9919082,1,,,,,,,17.972526697201754,-66.85894581727747,
GEDI02_A_2019246042645_O04104_02_T00259_02_003_02_V002.h5,BEAM1000,41040800200080794,17.9729348886031,-66.85861284390019,11.23,14.34,158.00464,143.6574,,0.99168706,1,,,,,,,17.9729348886031,-66.85861284390019,
GEDI02_A_2019246042645_O04104_02_T00259_02_003_02_V002.h5,BEAM1000,41040800200080795,17.973342680321487,-66.85828015216715,5.09,7.52,145.20258,137.6731,,0.97894293,1,,,,,,,17.973342680321487,-66.85828015216715,
GEDI02_A_2019246042645_O04104_02_T00259_02_003_02_V002.h5,BEAM1000,41040800200080796,17.973750557134142,-66.85794733780288,8.27,10.63,141.05383,130.41515,,0.9859975,1,,,,,,,17.973750557134142,-66.85794733780288,
GEDI02_A_2019246042645_O04104_02_T00259_02_003_02_V002.h5,BEAM1000,41040800200080797,17.974159179338155,-66.85761385007991,13.78,17.34,132.99973,115.65568,,0.9912834,1,,,,,,,17.974159179338155,-66.85761385007991,
GEDI02_A_2019246042645_O04104_02_T00259_02_003_02_V002.h5,BEAM1000,41040800200080798,17.97456554722176,-66.8572821900569,8.24,10.45,132.11671,121.66533,,0.98797107,1,,,,,,,17.97456554722176,-66.8572821900569,
GEDI02_A_2019246042645_O04104_02_T00259_02_003_02_V002.h5,BEAM1000,41040800200080799,17.974970821806536,-66.85695138975677,8.2,10.86,148.35777,137.49432,,0.98747647,1,,,,,,,17.974970821806536,-66.85695138975677,
GEDI02_A_2020209182349_O09199_02_T03105_02_003_01_V002.h5,BEAM0000,91990000200082848,17.969802230793558,-66.86050871023822,0.0,0.0,8488.009,8488.009,,4.102068,0,,,,,,,17.969802230793558,-66.86050871023822,
GEDI02_A_2020209182349_O09199_02_T03105_02_003_01_V002.h5,BEAM0000,91990000200082849,17.97021018072419,-66.86017716222364,0.0,0.0,8487.525,8487.525,,19.382914,0,,,,,,,17.97021018072419,-66.86017716222364,
GEDI02_A_2020209182349_O09199_02_T03105_02_003_01_V002.h5,BEAM0000,91990000200082850,17.970617501228144,-66.85984593301501,0.0,0.0,8488.062,8488.062,,-0.6676486,0,,,,,,,17.970617501228144,-66.85984593301501,
GEDI02_A_2020209182349_O09199_02_T03105_02_003_01_V002.h5,BEAM0000,91990000200082851,17.971025347765764,-66.85951443807922,0.0,0.0,8487.828,8487.828,,-1.5379766,0,,,,,,,17.971025347765764,-66.85951443807922,
GEDI02_A_2020209182349_O09199_02_T03105_02_003_01_V002.h5,BEAM0000,91990000200082852,17.971433066116155,-66.85918301035665,0.0,0.0,8487.835,8487.835,,1.9483579,0,,,,,,,17.971433066116155,-66.85918301035665,
GEDI02_A_2020209182349_O09199_02_T03105_02_003_01_V002.h5,BEAM0000,91990000200082853,17.971840524978976,-66.85885171801735,0.0,0.0,8488.281,8488.281,,-0.43157297,0,,,,,,,17.971840524978976,-66.85885171801735,
GEDI02_A_2020209182349_O09199_02_T03105_02_003_01_V002.h5,BEAM0000,91990000200082854,17.972248606356516,-66.85852011483753,0.0,0.0,8487.802,8487.802,,-0.1906199,0,,,,,,,17.972248606356516,-66.85852011483753,
GEDI02_A_2020209182349_O09199_02_T03105_02_003_01_V002.h5,BEAM0000,91990000200082855,17.97265607085372,-66.8581888308269,0.0,0.0,8488.311,8488.311,,1.9643391,0,,,,,,,17.97265607085372,-66.8581888308269,
GEDI02_A_2020209182349_O09199_02_T03105_02_003_01_V002.h5,BEAM0000,91990000200082856,17.973064139129495,-66.8578572478388,0.0,0.0,8487.918,8487.918,,-3.6618865,0,,,,,,,17.973064139129495,-66.8578572478388,
GEDI02_A_2020209182349_O09199_02_T03105_02_003_01_V002.h5,BEAM0000,91990000200082857,17.973402342846214,-66.85756114689495,0.0,0.0,8595.482,8595.482,,5.494891,0,,,,,,,17.973402342846214,-66.85756114689495,
GEDI02_A_2020209182349_O09199_02_T03105_02_003_01_V002.h5,BEAM0000,91990000200082858,17.97387983466226,-66.85719433371821,0.0,0.0,8487.898,8487.898,,-0.15744162,0,,,,,,,17.97387983466226,-66.85719433371821,
GEDI02_A_2020209182349_O09199_02_T03105_02_003_01_V002.h5,BEAM0000,91990000200082859,17.974287568814333,-66.85686295068002,0.0,0.0,8488.103,8488.103,,4.9778485,0,,,,,,,17.974287568814333,-66.85686295068002,
GEDI02_A_2020273024726_O10181_03_T07074_02_003_02_V002.h5,BEAM1000,101810800300459296,17.97754927049083,-66.85847240290282,0.0,0.0,3411.372,3411.372,,6.3477373,0,,,,,,,17.97754927049083,-66.85847240290282,
GEDI02_A_2020273024726_O10181_03_T07074_02_003_02_V002.h5,BEAM1000,101810800300459297,17.97714378538578,-66.85814042026178,0.0,0.0,3411.2615,3411.2615,,-0.89464045,0,,,,,,,17.97714378538578,-66.85814042026178,
GEDI02_A_2020273024726_O10181_03_T07074_02_003_02_V002.h5,BEAM1000,101810800300459298,17.976738235672464,-66.85780844305161,0.0,0.0,3411.2258,3411.2258,,-21.537643,0,,,,,,,17.976738235672464,-66.85780844305161,
GEDI02_A_2020273024726_O10181_03_T07074_02_003_02_V002.h5,BEAM1000,101810800300459299,17.976332664221275,-66.85747652491133,0.0,0.0,3411.5364,3411.5364,,-1.1826677,0,,,,,,,17.976332664221275,-66.85747652491133,
GEDI02_A_2020273024726_O10181_03_T07074_02_003_02_V002.h5,BEAM1000,101810800300459300,17.975926945851914,-66.85714452099336,0.0,0.0,3411.436,3411.436,,0.08518422,0,,,,,,,17.975926945851914,-66.85714452099336,
GEDI02_A_2020273024726_O10181_03_T07074_02_003_02_V002.h5,BEAM1011,101811100300459660,17.977589703837552,-66.86542775233033,0.0,0.0,-19.587723,-19.587723,,-34.148304,0,,,,,,,17.977589703837552,-66.86542775233033,
GEDI02_A_2020273024726_O10181_03_T07074_02_003_02_V002.h5,BEAM1011,101811100300459661,17.977184830504356,-66.86509619023722,0.0,0.0,-19.476757,-19.476757,,0.61825645,0,,,,,,,17.977184830504356,-66.86509619023722,
GEDI02_A_2020273024726_O10181_03_T07074_02_003_02_V002.h5,BEAM1011,101811100300459662,17.976779881509742,-66.86476451047955,0.0,0.0,-19.868567,-19.868567,,0.32375,0,,,,,,,17.976779881509742,-66.86476451047955,
GEDI02_A_2020273024726_O10181_03_T07074_02_003_02_V002.h5,BEAM1011,101811100300459663,17.976374997399503,-66.86443286228499,0.0,0.0,-19.97802,-19.97802,,4.9298754,0,,,,,,,17.976374997399503,-66.86443286228499,
GEDI02_A_2020273024726_O10181_03_T07074_02_003_02_V002.h5,BEAM1011,101811100300459664,17.9759701745166,-66.86410124887058,0.0,0.0,-19.785582,-19.785582,,-0.260434,0,,,,,,,17.9759701745166,-66.86410124887058,
GEDI02_A_2020273024726_O10181_03_T07074_02_003_02_V002.h5,BEAM1011,101811100300459665,17.9755653260142,-66.8637695885299,0.0,0.0,-19.732054,-19.732054,,1.6614662,0,,,,,,,17.9755653260142,-66.8637695885299,
GEDI02_A_2020273024726_O10181_03_T07074_02_003_02_V002.h5,BEAM1011,101811100300459666,17.97516038128617,-66.86343781604235,0.0,0.0,-20.170725,-20.170725,,0.46396536,0,,,,,,,17.97516038128617,-66.86343781604235,
GEDI02_A_2020273024726_O10181_03_T07074_02_003_02_V002.h5,BEAM1011,101811100300459667,17.974755614801673,-66.8631062171161,0.0,0.0,-19.582449,-19.582449,,2.2352421,0,,,,,,,17.974755614801673,-66.8631062171161,
GEDI02_A_2020273024726_O10181_03_T07074_02_003_02_V002.h5,BEAM1011,101811100300459668,17.974350651432324,-66.86277441723755,0.0,0.0,-19.962439,-19.962439,,2.9910333,0,,,,,,,17.974350651432324,-66.86277441723755,
GEDI02_A_2020273024726_O10181_03_T07074_02_003_02_V002.h5,BEAM1011,101811100300459669,17.97394572204953,-66.8624426574273,0.0,0.0,-20.038366,-20.038366,,3.3675327,0,,,,,,,17.97394572204953,-66.8624426574273,
GEDI02_A_2020273024726_O10181_03_T07074_02_003_02_V002.h5,BEAM1011,101811100300459670,17.97354065268403,-66.86211078714999,0.0,0.0,-20.181404,-20.181404,,2.4279456,0,,,,,,,17.97354065268403,-66.86211078714999,
GEDI02_A_2020273024726_O10181_03_T07074_02_003_02_V002.h5,BEAM1011,101811100300459671,17.973135665510355,-66.8617790193966,0.0,0.0,-19.693539,-19.693539,,-1.1677827,0,,,,,,,17.973135665510355,-66.8617790193966,
GEDI02_A_2020273024726_O10181_03_T07074_02_003_02_V002.h5,BEAM1011,101811100300459672,17.97273050529258,-66.86144710155364,0.0,0.0,-19.919699,-19.919699,,4.2624135,0,,,,,,,17.97273050529258,-66.86144710155364,
GEDI02_A_2020273024726_O10181_03_T07074_02_003_02_V002.h5,BEAM1011,101811100300459673,17.97232527478184,-66.86111514466396,0.0,0.0,-20.274378,-20.274378,,-2.3512099,0,,,,,,,17.97232527478184,-66.86111514466396,
GEDI02_A_2020273024726_O10181_03_T07074_02_003_02_V002.h5,BEAM1011,101811100300459674,17.97192015070448,-66.86078333493892,0.0,0.0,-19.773066,-19.773066,,2.064303,0,,,,,,,17.97192015070448,-66.86078333493892,
GEDI02_A_2020273024726_O10181_03_T07074_02_003_02_V002.h5,BEAM1011,101811100300459675,17.971514868930274,-66.86045141056569,0.0,0.0,-19.812683,-19.812683,,13.574702,0,,,,,,,17.971514868930274,-66.86045141056569,
